PDF 文件名,标题,波段信息,材料,设计目的
2024卡内基梅隆大学Sicience Advance受 Brochosome 启发的二元超结构，用于逐像素热特征控制.pdf,Brochosome- inspired binary metastructures for pixel- by- pixel thermal signature control,红外波段，2.5-8μm,"Ni,Si",这篇文章受叶蝉产生的微球启发，设计了具有开放或封闭孔隙的二元微结构（BLP）用于微观热特征控制。通过独特的发射和散射特性，实现了可见光伪装和红外显示的双重效果，为光学安全、防伪和数据加密等应用提供了系统且可扩展的解决方案。 
2024同济大学NC具有延展性可印刷性可粘合性和高导电性MXene液态金属橡皮泥具有更高的润湿性.pdf,"Malleable, printable, bondable, and highly conductive MXene/liquid metal plasticine with improved wettability",微波波段，5.88-18GHz,"Ti3AlC2,Ti3C2Tx,MXene,LM,EGaIn,LiF,HCl,EtOH,PTFE,Cu,Ag,Ni,CNTs,GO",这篇文章提出了一种溶剂辅助分散（SAD）法，将MXene均匀融入液态金属（LM），制备出具有高导电性、可延展、可打印、可粘合且润湿性良好的MXene/LM复合材料（MLM）。该材料在电磁干扰（EMI）屏蔽、传感及焦耳热等方面性能出色，如MLM涂层在20μm时EMI屏蔽效能达105dB，对高达100%的拉伸循环1000次后屏蔽性能仍稳定，展现了在电磁防护、柔性电子和先进制造等领域的广阔应用前景。 
2024宾夕法尼亚州立大学Science Bulletin具有机械可调红外特性的头足类启发聚合物复合材料.pdf,Cephalopod-inspired polymer composites with mechanically tunable infrared properties,大气透明窗口波段 3–5 μm ，8–9μm，10–11.5μm，13–14μm,"EGaIn,Eco?ex 00–30,Sylgard 184,PDMS,PET,Ge",这篇文章受头足类动物皮肤启发，开发了一种完全柔软的自适应红外复合材料，通过等轴拉伸可动态改变红外外观。该材料由液态金属微滴和弹性弹性体组成，模拟了头足类动物皮肤的色素细胞和真皮层。实验结果表明，该复合材料具有优异的机械性能和红外调制能力，可用于制作应变驱动的柔性红外显示器和气动驱动的软设备，在先进的柔性电子、自适应光学和软机器人等领域具有巨大潜力。 
2024清华大学Surfaces and Interfacesther仿生分层褶皱，可调红外反射.pdf,Bio-inspired hierarchical wrinkles for tunable infrared reflectance,中红外波段，8-14μm,"POE,Al,PMMA,DMF",这篇文章提出了一种基于POE-POE/Al的具有可调红外反射率的分层皱纹（H型皱纹），通过热压和机械拉伸方法制备，实现了在8-14μm波段高达0.44的反射率调节对比度。在40°C热台上，H型皱纹在150%单轴拉伸前后产生了5.3°C的温差；覆盖在人造皮肤上时，通过机械驱动可实现约1.4°C的动态温度调节。该研究为具有高红外调制能力的仿生皱纹在红外伪装和热管理中的应用提供了策略。 
2025Journal of Porous Materials-印度理工学院斯利那加分校-用于下一代热伪装的 MXene 基材料的动态发射率控制.pdf,Dynamic emissivity control in MXene?based materials for next?generation thermal camouflage,大气透明窗口波段 3–5 μm ， 8–14 μm,"IR,EM,EMI,Al,Cu,Ag,TMD,PVA,MXene,M-B-M(Ni),A,MTBC,SET,BP,MMT,BNNS,GO,PCC,h-BN,PET,PI,ITO,SEA,SER,M,X,ZT",这篇文章综述了基于MXene的热伪装材料的最新进展，聚焦于多孔结构、相变材料集成和可扩展薄膜制造技术等设计与开发方法，这些方法增强了MXene降低红外发射率、改善隔热和适应动态环境的能力。文章强调了MXene在5G/6G通信设备、红外隐身技术和航空航天系统等新兴领域的应用潜力，同时指出了其在氧化敏感性、机械耐久性和可扩展性等方面的挑战，并对未来发展方向提供了关键见解。 
Absorption and Scattering of Light by Small Particles.pdf,Absorption and Scattering of Light by Small Particles,否,"Al,MgO,H2O",这篇文章是《Absorption and Scattering of Light by Small Particles》的前言部分，主要介绍了本书的创作目的、内容结构以及致谢。本书旨在探讨小粒子对光的吸收和散射，满足多学科读者需求。内容分三部分，第一部分是散射理论，第二部分是大块物质的光学性质，第三部分是前两部分的结合。作者力求兼顾各学科，推导简洁，注重物理合理性。书中大部分推导和图形为作者原创，实验数据也为本书选取，错误由作者负责。最后作者对众多给予帮助的人表达了感谢。 
adom.202100575.pdf,Metasurface Based on Inverse Design for Maximizing Solar Spectral Absorption,可见光至近红外波段，250-2450nm,"TiN,SiNx",这篇文章基于粒子中的米氏共振和太阳光谱，利用遗传算法的逆向设计方法，设计了一种用于最大化太阳光谱吸收的超表面。该超表面由嵌入氮化硅（SiN?）中的双层TiN圆柱阵列组成，模拟结果显示其在250-2450nm的波长范围内具有93%的高吸收率，且具有低发射率、角度不敏感性和偏振不敏感性等优点。这项研究为太阳能吸收和光热转换提供了一种新的设计思路和方法。 
Adv Funct Materials - 2024 - Xu - Bioinspired Spectrally Selective Phase‐Change Composites for Enhanced Solar Thermal.pdf,Bioinspired Spectrally Selective Phase-Change Composites for Enhanced Solar Thermal Energy Storage,可见光至近红外波段，0.2-2.5μm,"SiC,Cu,Zn",这篇文章受北极熊体温调节机制启发，引入具有光谱选择性吸收的复合相变材料（CPCMs），以提高太阳能存储效率。这种材料通过紧密堆积的SiC陶瓷颗粒和高孔隙率，实现了高达14Wm?1K?1的热导率和195.1kJkg?1的储能密度。此外，通过涂覆等离子体纳米颗粒涂层（PNC），太阳能吸收率提高到90.57%，红外发射率从71.94%降至7.47%，太阳能存储效率在500K时从54.56%显著提高到81.65%。这些多功能CPCMs在推进高温太阳能存储技术和其他热相关应用方面具有巨大潜力。 
Adv Funct Materials - 2024 - Yu - Multifunctional Wood Composite Aerogel with Integrated Radiant Cooling and Fog Water.pdf,Multifunctional Wood Composite Aerogel with Integrated Radiant Cooling and Fog–Water Harvesting for All-Day Building Energy Conservation,大气透明窗口波段 8–13μm,"C,O,Si",这篇文章通过原位生长多尺度二氧化硅设计并制备了一种高性能自适应热管理木材复合气凝胶材料。该材料在冬季和夏季白天分别具有高达13.5℃和20.2℃的亚环境冷却效果，夜间具备一定保温性能，同时还拥有59.27±0.76mg min?1的雾水收集率，展现出良好的耐候性。这项研究显著推动了被动辐射冷却材料在建筑节能领域的实际应用。 
Adv Funct Materials - 2024 - Zhao - 分层编程的元百叶窗织物，用于自适应个人体温管理.pdf,Hierarchically Programmed Meta-Louver Fabric for Adaptive Personal Thermal Management,红外波段，7-14μm,"Viscose filaments,Citric acid,Sodium hypophosphite monohydrate,Waterborne polyurethane","这篇文章通过设计多层结构，开发了一种具有热伪装和防伪功能的可编程彩色热伪装和防伪技术。通过设计多层结构，该技术实现了可见光颜色和红外发射率的独立调控，能够在复杂环境中动态适应背景，同时具备高达90%的红外发射率调节范围。这项研究为多光谱兼容伪装和防伪提供了一种创新的解决方案。

上述内容是基于文章的摘要进行的总结，你可以根据实际需求进行调整。如果你还有其他问题，欢迎继续向我提问。"
Advanced Optical Materials - 2022 - Li - Inverse Design of Unidirectional Transmission Nanostructures Based on Unsupervised.pdf,Inverse Design of Unidirectional Transmission Nanostructures Based on Unsupervised Machine Learning,否,"TiO2,SiO2",这篇文章提出了一种基于无监督机器学习的单向传输纳米结构逆向设计方法，通过建立无监督卷积神经网络，将高维结构参数和近场分布特征提取到二维特征空间，实现了对具有单向传输特性的纳米结构的逆向设计。该方法能够有效避免“维度诅咒”问题，扩展了纳米结构的设计自由度，为纳米光子学领域的结构设计提供了一种创新的解决方案。 
Advanced Science - 2023 - Chen - Broadband Solar Metamaterial Absorbers Empowered by Transformer‐Based Deep Learning.pdf,Broadband Solar Metamaterial Absorbers Empowered by Transformer-Based Deep Learning,可见光至近红外波段，400-2500nm,"Ti,Ge,Si,TiO2,Al2O3,MgF2",这篇文章提出了一种基于Transformer的深度学习模型，用于设计宽带太阳能超材料吸收器（SMA）。通过将超材料光谱分割成多个小块，该模型克服了传统深度学习中的过拟合问题，并显著提高了学习能力。实验结果表明，该模型设计的SMA在宽带太阳能吸收方面具有优异的性能，平均吸收率高达94%，优于许多现有的同类产品。此外，该模型还具有实时设计和优化的能力，能够根据用户定义的光谱需求快速生成SMA的结构参数。这项研究为太阳能吸收器的智能设计提供了一种新的方法，有望在太阳能利用领域得到广泛应用。 
CEJ-大型可扩展、抗紫外线、强韧纤维素膜，具有明确的双孔，可长时间进行日间辐射冷却.pdf,"Large scalable, anti-ultraviolet, strong cellulose film with well-defined dual-pores for longtime daytime radiative cooling",可见光至近红外波段，0.2-2.5μm；大气透明窗口波段，8–13μm,"CA,TiO2,PT,DMF,EtOH",这篇文章通过合理的溶剂诱导相分离技术，开发了一种具有明确分层微纳结构的纤维素复合膜（CCF），用于高效且持久的日间辐射冷却。该膜以TiO2@PT作为双功能改性剂，实现了97.6%的超高太阳能反射率、0.95的高红外发射率、1.1MPa的拉伸强度和良好的抗紫外线功能，能在日间实现6.5℃的降温，且经720小时紫外线照射后仍保持稳定的辐射冷却性能，为减少全球能源消耗提供了有潜力的解决方案。 
d4mh00711e.pdf,Epsilon-near-zero thin films in a dual-functional system for thermal infrared camouflage and thermal management within the atmospheric window,大气透明窗口波段 8–14 μm,"SiO2,Al2O3,TiO2,Au,AlNiY",这篇文章提出了一种基于金属玻璃与近零介电常数（ENZ）薄膜Berreman模式相结合的双功能系统，用于在大气窗口内实现热红外伪装和热管理。该系统在小视角下具有低辐射功率，与周围环境近似匹配；在大视角下具备高发射率，利于辐射冷却和高效散热，实现了伪装和热管理功能的结合，且冷却能力显著增强，为红外热伪装技术发展提供了新途径。 
drude_nc.pdf,In3SbTe2 as a programmable nanophotonics material platform for the infrared,"红外波段，未提及具体范围

文章介绍了一种可切换的红外等离子体相变材料In3SbTe2（IST），该材料在整个红外光谱范围内具有从介电到金属的光学性质变化，可用于构建可编程的纳米光子学材料平台，实现如可切换的红外等离子体天线、频率选择性红外吸收器等功能，推动了红外光学、传感和电信等领域的发展。但未明确指出具体实现这些功能所涉及的红外波段范围。 ","In3SbTe2,CaF2,ZnS,SiO2,Au,Al,Si",这篇文章提出了一种基于非易失性相变材料In3SbTe2（IST）的可编程纳米光子学材料平台，用于红外领域。通过脉冲开关激光，可在IST薄膜的亚原子和原子水平上直接写入、修改和擦除共振金属纳米结构，实现了纳米天线超4μm的大共振位移、近90%吸收率的可调中红外吸收器，以及金属纳米天线的屏蔽和纳米级“焊接”。该研究为红外领域的可编程纳米光子器件设计提供了新途径，有望应用于电信、（生物）传感和红外光学等领域。 
GA+相变材料.pdf,Machine learning enabled rational design for dynamic thermal emitters with phase change materials,大气透明窗口波段，8-13μm,"VO2,Si,W",这篇文章提出了一种基于机器学习的动态热发射体设计方法，通过构建神经网络模型并结合遗传算法，实现了对动态热发射体的逆向设计。该方法能够在保证建模精度的同时，大幅提高计算速度，并通过决策树和梯度分析等工具揭示了结构与光谱响应之间的潜在关系。实验结果表明，设计的动态发射体在高温下具有接近完美的发射率（εM=0.98），在低温下发射率可低至εI=0.18，发射率调节范围高达0.8，展现了出色的热调制能力。这项研究为动态热发射体的设计提供了一种创新的解决方案，也为其他热光子器件的设计提供了有益的指导。 
GA.pdf,Inverse-design laser-infrared compatible stealth with thermal management enabled by wavelength-selective thermal emitter,大气透明窗口波段 3–5 μm ， 8–14 μm,"ZnS,Ge3Sb2Te6,Ni",这篇文章提出了一种基于ZnS/GST多层膜和Ni反射器的波长选择性热发射体（WSTE），通过逆设计方法实现了激光-红外兼容隐身和热管理。模拟结果表明，在结晶相中，WSTE在中波红外（MWIR）和长波红外（LWIR）波段具有低光谱发射率，在非大气窗口具有高光谱发射率，在激光波长处具有高吸收率，能够同时实现MWIR、LWIR和激光隐身以及辐射散热。通过控制GST的结晶分数，WSTE可以在3-14μm波长范围内动态控制热辐射，模拟的红外图像验证了其良好的红外隐身性能。此外，研究了入射角和偏振角对WSTE发射光谱的影响，结果表明激光-红外隐身和辐射散热对两者均不敏感。总之，WSTE在先进光子学应用中具有广阔前景。 
GAN.pdf,Inverse design of structural color: ?nding multiple solutions via conditional generative adversarial networks,否,"Ag,SiO2,quartz,Ti",这篇文章提出了一种基于条件生成对抗网络（cGAN）的结构色逆向设计方法，以解决“一对多”问题。通过该方法，模型能够为每个颜色生成平均3.58个解决方案组，实现了0.44的平均颜色差异ΔE，这是结构色逆向设计中报告的最低颜色差异。该方法通过实验验证了其在设计sRGB颜色滤波器方面的有效性，为纳米光子结构的设计提供了更多可行的解决方案。 
Interdisciplinary Materials - 2022 - Chen - Metamaterials  From fundamental physics to intelligent design.pdf,Metamaterials: From fundamental physics to intelligent design,否,无,这篇文章介绍了超材料和超表面的基本概念、工作原理、设计方法和应用，重点讨论了结合人工智能算法的超材料研究。超材料能有效控制光场，但其复杂结构、高损耗和制造挑战限制了实际应用。超表面作为超材料的二维版本，具有超薄、高效等优点，在光场调控方面有广泛应用。传统的结构设计方法包括数值模拟和经典优化算法，而人工智能算法特别是人工神经网络已成功应用于复杂超结构设计，为超材料器件的发展提供了有前景的方向。 
In?SbTe?相变材料.pdf,Colored thermal camouflage and anti-counterfeiting with programmable In?SbTe? platform,大气透明窗口波段 3–5 μm ， 8–14 μm,"In3SbTe2,ZnS,Ag,Ge,GaAs",这篇文章提出了一种基于相变材料In3SbTe2的可编程彩色热伪装和防伪技术，能够在3–5μm和8–14μm波段实现可见光和红外兼容的伪装。通过设计多层结构，该技术实现了可见光颜色和红外发射率的独立调控，能够在复杂环境中动态适应背景，同时具备高达90%的红外发射率调节范围。这项研究为多光谱兼容伪装和防伪提供了一种创新的解决方案。 
iscienc.pdf,Machine learning enabled rational design for dynamic thermal emitters with phase change materials,大气透明窗口波段，8-13μm,"VO2,W,Si",这篇文章提出了一种基于机器学习的动态热发射体设计方法，通过构建神经网络模型，将结构和光谱空间联系起来，实现了对动态热发射体的逆向设计。该方法能够有效提高发射率的可调性，实现了高达0.8的发射率调节范围，同时通过决策树和梯度分析等方法，揭示了结构参数与发射率之间的物理关系。这项研究为动态热发射体的设计提供了一种创新的解决方案，有望在辐射冷却、热开关和自适应伪装等领域得到广泛应用。 
Journal of the American Ceramic Society - 2023 - Ashofteh - Role of nano‐zones in enhancing the performance of YSZ coatings.pdf,Role of nano-zones in enhancing the performance of YSZ coatings under thermal shock conditions,否,"Al2O3,CoNiCrAlY,ZrO2,Y2O3",这篇文章研究了纳米区（NZs）对大气等离子喷涂法制备的纳米结构YSZ（YSZ-N）涂层性能的影响，特别是在热冲击条件下。通过扫描电子显微镜、能谱仪、X射线衍射和拉曼光谱对涂层进行表征。结果表明，NZs能有效限制氧气渗透和TGO生长，显著提高涂层的整体性能，为提高热障涂层的抗热震性能提供了一种新的策略。 
LSA-Bio-inspired micropatterned thermochromic hydrogel for concurrent smart solar transmission and rapid visible-light stealth at all-working temperatures..pdf,Bio-inspired micropatterned thermochromic hydrogel for concurrent smart solar transmission and rapid visible-light stealth at all-working temperatures,可见光波段，380-780nm,"NIPAM,BIS,KPS,TEMED",这篇文章提出了一种受鱿鱼皮肤启发的微图案热致变色水凝胶（MTH），能够在所有工作温度下实现智能太阳能传输和快速可见光隐身的并发控制。该水凝胶具有光学性质调节和光散射两种光学调节机制，分别由温度和压力控制。通过引入表面微图案策略，MTH可以在正常和漫透射之间任意切换，VLS响应时间在1s以内，同时具有61%的高太阳能传输调节范围。此外，MTH的制备方法具有可扩展性和成本效益。这项研究为满足多功能光学要求的应用开辟了一条新途径。 
LZ+Y结合.pdf,High emittance plasma sprayed ZrO 2-Y2O3/La2Zr2O7 thermal barrier coatings for potential application in scramjets,"红外波段，2.5-20μm
文章中对涂层发射率的测量使用了傅里叶变换红外光谱仪（FTIR），测量范围为2.5至20μm的波长范围。具体内容为：使用FTIR（PerkinElmer Frontier? MIR/FIR）在2.5至20μm的波长范围内，采用积分球漫反射模式记录沉积涂层的光学反射率。并根据该范围内的反射率数据，通过特定公式计算得出涂层的发射率。因此，可以确定该研究在红外波段（2.5-20μm）实现了对涂层发射率的测量这一特定目的。 ","Inconel718,NiCrAlY,ZrO2,Y2O3,La2Zr2O7",这篇文章制备了等离子喷涂的Inconel/NiCrAlY/ZrO2-Y2O3（INY）和Inconel/NiCrAlY/ZrO2-Y2O3/La2Zr2O7（INYL）涂层，研究其作为高发射率热障涂层在超燃冲压发动机中的应用潜力。研究发现，INY涂层在973K时发射率最高可达0.83±0.02，在1373K空气中暴露2h仍具有良好的热稳定性；INYL涂层在773K时发射率最高为0.92±0.02，但在高温下性能退化。计算分析表明，使用这些涂层可使超燃冲压发动机进气道壁温降低约230K。研究为超燃冲压发动机的辐射冷却提供了一种有潜力的热管理解决方案。 
nanomaterials-13-01030.pdf,Deep Learning Assisted Optimization of Metasurface for Multi-Band Compatible Infrared Stealth and Radiative Thermal Management,大气透明窗口波段 3–5 μm ， 8–14 μm,"Ge,Ag,Al","这篇文章提出了一种基于深度学习的多功能红外隐身超表面，通过严格耦合波分析（RCWA）算法结合深度学习策略，设计并优化了Ge/Ag/Ge多层圆孔超表面结构，实现了在3-5μm和8-14μm大气窗口的低发射率、5-8μm波段的高发射率以及1.54μm波长处的窄带高吸收率，满足了多波段兼容红外隐身和辐射热管理的需求。与传统方法相比，该方法大大提高了设计效率，节省了时间和计算资源成本。

1. **设计目的**：满足现代军事领域对多波段兼容红外隐身的需求，同时实现辐射热管理。
2. **实现方法**：结合严格耦合波分析（RCWA）和深度学习（DL），设计并优化Ge/Ag/Ge多层圆孔超表面结构。
3. **效果**
    - 在3-5μm和8-14μm大气窗口实现低平均发射率，分别为0.12和0.17。
    - 在5-8μm波段实现较高平均发射率，为0.61，满足辐射热管理需求。
    - 在近红外波长1.54μm处实现窄带高吸收率，为0.88，用于激光制导。
    - 结构简单，具有较高的设计精度和效率，为多功能红外隐身材料的设计和优化提供了指导。 "
NC-Passive isothermal film with self-switchable radiative cooling-driven water sorption layer for arid climate applications.pdf,Passive isothermal film with self-switchable radiative cooling-driven water sorption layer for arid climate applications,红外波段，8-11μm,"PDMS,SiO2,Ti,Ag,MIL-101(Cr),NH4NO3,H2O,PE",这篇文章开发了一种毫米级被动等温薄膜，通过辐射冷却单元和水脱附驱动的吸热反应单元，仅利用自然过程，无需能耗就能在干旱气候中使温度维持在25°C左右。该薄膜能减少白天制冷负荷约1.1kW m?2、夜间供热负荷约0.3kW m?2，为无需主动系统的人类居住环境设计提供了可能。 
NC-耐用的辐射冷却，防止环境老化.pdf,Durable radiative cooling against environ- mental aging,太阳辐射波段，0.3-2.5μm；大气透明窗口波段，8-13μm,"TiO2,PFOTS,EtOH",这篇文章提出了一种耐久性抗老化的辐射冷却涂层——抗老化冷却涂料（AACP），该涂料以疏水性二氧化钛（TiO2）纳米颗粒为基础，通过蒸发驱动自组装形成具有分级多孔形态的涂层。实验表明，AACP在经过模拟3年自然污染、1年自然阳光照射的加速老化测试，以及6个多月的实际环境老化测试后，仍能保持优异的冷却能力，其太阳反射率（R ?solar）≥0.9，长波红外发射率（εLWIR）≥0.97，且具有良好的自清洁性能。AACP可喷涂在各种基材上，具有良好的机械稳定性和可扩展性，有望推动亚环境日间辐射冷却技术在实际中的应用。 
oe-31-26-44811.pdf,"Multispectral camouflage nanostructure design based on a particle swarm optimization algorithm for color camouflage, infrared camouflage, laser stealth, and heat dissipation",大气透明窗口波段 3–5 μm ， 8–14 μm ，非大气窗口波段5-8μm，激光波段1.06μm、1.55μm、10.6μm,"SiO2,ZnS,Ge,Ag,Au,Pt,Si,Ti,V",这篇文章提出了一种基于粒子群优化算法的多光谱伪装超材料结构，该结构在可见光和红外波段实现了多功能兼容。在可见光波段，超材料结构的光吸收率超过90%，通过改变顶部圆柱形纳米结构可实现颜色伪装。在红外波段，该结构可实现双波段红外伪装（3-5μm和8-14μm）、激光隐身（1.06、1.55和10.6μm）以及散热（5-8μm）功能。这种设计为多光谱伪装提供了新的思路，具有在军事和工业应用中的潜力。 
oe-32-7-12926.pdf,Multispectral camouflage and radiative cooling using dynamically tunable metasurface,中波红外波段，3-5μm；大气窗口波段，8-13μm；短波红外波段，5-8μm；1064nm激光波段,"Au,Sb2Se3,Al,PMMA,SiO2",这篇文章提出了一种基于锑化硒（Sb2Se3）的动态可调谐超表面，可实现多光谱伪装和辐射冷却。该超表面由金（Au）、锑化硒（Sb2Se3）和铝（Al）组成，通过改变Sb2Se3的相态来切换高性能热管理模式和伪装模式。在非晶态下，中波红外范围内的热辐射降低率高达98.2%，1064nm激光雷达的回波信号降低率可达96.3%；在晶态下，最高冷却功率为65.5Wm?2。这种设计为实现多光谱伪装和辐射冷却提供了一种新策略。 
OptoGPT_+A+foundation+model+for+inverse+design+in+optical+multilayer+thin+film+structures.pdf,OptoGPT: A foundation model for inverse design in optical multilayer thin film structures,可见光至近红外波段，400-1100nm,"Ag,Al,Al2O3,AlN,Ge,HfO2,ITO,MgF2,MgO,Si,Si3N4,SiO2,Ta2O5,TiN,TiO2,ZnO,ZnS,ZnSe","这篇文章提出了OptoGPT，一种仅解码器的Transformer模型，用于解决光学多层薄膜结构逆设计中存在的问题。通过引入“结构标记”和“结构序列化”，该模型能够统一不同类型的结构，并将设计目标统一为反射和透射光谱目标。此外，文章还提出了一系列基于“微调”和“概率采样”的技术，以统一不同角度和偏振下的设计，实现结构制造的多样性和灵活性。实验结果表明，OptoGPT在不同应用场景下都具有良好的逆设计性能，能够快速生成满足设计目标的多层薄膜结构。

OptoGPT的创新点在于其能够处理多种类型的结构和设计目标，同时具备高度的灵活性和多样性。通过将结构和光谱信息统一表示，OptoGPT能够在不同角度和偏振下进行有效的逆设计，为光学多层薄膜结构的设计提供了一种强大的工具。此外，文章还展示了OptoGPT在实际应用中的潜力，如光谱滤波器、吸收器和结构颜色等方面的设计。

总的来说，OptoGPT为光学多层薄膜结构的逆设计提供了一种创新的解决方案，具有广泛的应用前景。未来的研究可以进一步探索OptoGPT的性能和应用潜力，以及如何将其应用于更复杂的光子结构设计中。 "
PSO+超表面.pdf,"Multispectral camouflage nanostructure design based on a particle swarm optimization algorithm for color camouflage, infrared camouflage, laser stealth, and heat dissipation",大气透明窗口波段 3–5 μm ， 8–14 μm ，非大气窗口波段5-8μm，激光波段1.06μm、1.55μm、10.6μm，可见光波段400-800nm,"Ag,Au,Ge,ZnS,Pt,SiO2",这篇文章提出了一种基于粒子群优化算法的多光谱伪装超材料结构，实现了可见光和红外波段的多功能兼容。在可见光波段，该结构平均吸收率达90%，能通过改变顶部纳米结构实现颜色伪装。在红外波段，它可实现3-5μm和8-14μm的双波段红外伪装、1.06、1.55和10.6μm的激光隐身以及5-8μm的散热功能，在不同波段均有出色表现，为多光谱伪装提供了创新解决方案。 
Realizing microwave-infrared compatible stealth via single 8YSZ coating.pdf,Realizing microwave-infrared compatible stealth via single 8YSZ coating,中波红外波段，3-5μm,"8YSZ,ZrO2,NiCrAlY",这篇文章提出了一种基于单一组分8wt%钇稳定氧化锆（8YSZ）涂层的高温微波-红外兼容隐身技术。通过大气等离子喷涂技术制备的8YSZ涂层，在900°C时具有优异的微波吸收性能，最低反射损耗达-50dB，有效吸收带宽为2GHz，同时在3-5μm波段保持低红外发射率（ε<0.3）。与传统的多组分或超材料隐身材料相比，该技术通过简单的成分实现了微波-红外兼容隐身，为隐身技术领域提供了一种新的解决方案。 
Revolutionizing_Infrared_Detection_in_Defense_Applications_A_Nanophotonic_Approach_Leveraging_2D_Materials_for_Enhanced_Mid-IR_Absorption.pdf,Revolutionizing Infrared Detection in Defense Applications: A Nanophotonic Approach Leveraging 2D Materials for Enhanced Mid-IR Absorption,大气透明窗口波段，3-5μm,"PbSe,Gr,WS2,Au",这篇文章提出了一种基于二维材料的纳米光子多层吸收器，用于增强中红外吸收，以革新国防应用中的红外探测。通过混合优化技术和逆设计策略，该吸收器在3-5μm范围内实现了高效吸收，厚度小于1μm，且对入射角不敏感。模拟结果表明，该吸收器在不同入射角下都能保持高吸收效率（>90%），为红外探测技术带来了显著进步，在环境、医疗和国防等领域具有巨大应用潜力。 
s10854-025-14314-z.pdf,Advances in radar/infrared compatible stealth materials,否,"PANI,PA,PT,PPy,BaFe12O19,BaTiO3,PEDOT:PSS,AZO,ATO,ITO,Ni-doped ZnO/Al,Cr2O3@ATO,ITO-5,ITO-10,Zn0.96Co0.04O,Sn0.84Sm0.08Sb0.08O2",这篇文章综述了雷达/红外兼容隐身材料的研究进展。分析了该技术的理论，介绍了其材料分类，包括单一系统、复合系统和超材料。总结了当前隐身时代面临的挑战与机遇，并展望了未来发展趋势。通过对不同类型材料的研究，有望开发出高性能、宽带隐身的新型材料，满足军事领域对多波段兼容隐身的需求。 
sciadv.adl4027_sm.pdf,Brochosome-inspired binary metastructures for pixel-by-pixel thermal signature control,否,"Supplementary Note,Figs. S1,S2,S3,S4,S5,S6,S7,S8,S9,Legend for movie S1,Movie S1",这篇文章的补充材料围绕受粉虱体壁启发的二元微结构展开，用于逐像素热特征控制。阐述了粉虱体壁双胞胎双向散射分布函数（BSDF）的相似性及在可见光暗场成像系统中相似性降低的原因；通过对3D打印的类粉虱体壁像素阵列进行热稳定性分析，发现温度升高时开孔与闭孔粉虱体壁之间的对比度略有增加，110℃烘烤后其形状仍能保持。补充图展示了类粉虱体壁像素的设计、长波长场分布、必要性和有效性、扫描电子显微镜图像及能谱分析、可见光图像定量分析、紧密堆积阵列、热稳定性分析、倾斜角热成像测量以及不同成像系统下伪装和显示的定量分析等内容。 
Supplementary+information+for+OptoGPT_+A+foundation+model+for+inverse+design+in+optical+multilayer+thin+film+structures.pdf,OptoGPT: A foundation model for inverse design in optical multilayer thin film structures,可见光至近红外波段，400-1100nm,"Al,Ag,Al2O3,AlN,Ge,HfO2,ITO,MgF2,MgO,Si,Si3N4,SiO2,Ta2O5,TiN,TiO2,ZnO,ZnS,ZnSe",这篇文章提出了OptoGPT，一种用于光学多层薄膜结构逆向设计的基础模型。通过构建包含18种材料的数据库，生成了包含1000万个样本的训练数据集和100万个样本的验证数据集，并使用转移矩阵方法模拟反射和透射光谱。模型采用KL散度作为训练损失，结合Adam优化器和热身程序进行训练。OptoGPT在结构微调、逆向设计、结构颜色设计、吸收器设计、滤波器设计和宽带反射器设计等方面展现出良好性能，为光学多层薄膜结构的设计提供了一种高效且灵活的解决方案。 
Wang_2021_Mach._Learn.__Sci._Technol._2_025013.pdf,Automated multi-layer optical design via deep reinforcement learning,可见光至近红外波段，400-2000nm,"Ag,Al,Al2O3,Cr,Fe2O3,Ge,HfO2,MgF2,Ni,Si,SiO2,Ti,TiO2,ZnO,ZnS,ZnSe,SiN","这篇文章提出了一种基于深度强化学习的自动化多层光学设计方法OML-PPO，将多层光学设计任务转化为序列生成问题。通过近端策略优化算法训练深度循环神经网络，生成具有所需特性的多层结构。该方法应用于太阳能热板和白炽灯滤波器两个能源应用任务，成功发现了高性能设计，优于人工设计和现有算法。消融研究表明，所提出的神经网络架构能够有效地探索设计空间。

具体来说，文章实现了以下目标：
1. **提出创新方法**：将多层光学设计任务建模为序列生成问题，开发了OML-PPO算法来解决该问题。
2. **设计高效网络**：提出了一种新颖的深度序列生成网络，能够有效地探索光学设计空间。
3. **验证方法效果**：在两个光学设计任务中，验证了所提方法在发现复杂设计任务的近最优解方面的有效性。

通过这些目标的实现，文章展示了所提方法在多层光学设计中的高效性和可扩展性，为光学设计领域提供了一种创新的解决方案。 "
yindidi.pdf,Colored thermal camouflage and anti-counterfeiting with programmable In?SbTe? platform,大气透明窗口波段 3–5 μm ， 8–14 μm,"In3SbTe2,ZnS,Ag,Ge,GaAs",这篇文章提出了一种基于相变材料In3SbTe2的可编程彩色热伪装和防伪技术，能够在3–5 μm和8–14 μm波段实现可见光和红外兼容的伪装。通过设计多层结构，该技术实现了可见光颜色和红外发射率的独立调控，能够在复杂环境中动态适应背景，同时具备高达90%的红外发射率调节范围。这项研究为多光谱兼容伪装和防伪提供了一种创新的解决方案。 
